id,emoji,name,description,keywords
381,👨‍👩‍👦,"👩‍👦 Family: Man, Woman, Boy","The Family: Man, Woman, Boy emoji is a ZWJ sequence combining 👨 Man, Zero Width Joiner, 👩 Woman, Zero Width Joiner and 👦 Boy. These display as a single emoji on supported platforms.",Width Joiner ZWJ sequence combining Man Woman Boy
382,👨‍👩‍👧,"👩‍👧 Family: Man, Woman, Girl","A family with a father, mother, and one daughter.",mother father daughter family
383,👨‍👩‍👧‍👦,"👩‍👧‍👦 Family: Man, Woman, Girl, Boy","A family with a father, mother, daughter, and son.",mother daughter father son family
384,👨‍👩‍👦‍👦,"👩‍👦‍👦 Family: Man, Woman, Boy, Boy","A family with a father, mother, and two sons.",mother father sons family
385,👨‍👩‍👧‍👧,"👩‍👧‍👧 Family: Man, Woman, Girl, Girl","A family with a father, mother, and two daughters.",mother father daughters family
386,👨‍👨‍👦,"👨‍👦 Family: Man, Man, Boy","A family with two fathers, and one son.",fathers son family
387,👨‍👨‍👧,"👨‍👧 Family: Man, Man, Girl","A family with two fathers, and one daughter.",fathers daughter family
388,👨‍👨‍👧‍👦,"👨‍👧‍👦 Family: Man, Man, Girl, Boy","A family with two fathers, one daughter, and one son.",fathers daughter son family
389,👨‍👨‍👦‍👦,"👨‍👦‍👦 Family: Man, Man, Boy, Boy","A family with two fathers, and two sons.",fathers sons family
390,👨‍👨‍👧‍👧,"👨‍👧‍👧 Family: Man, Man, Girl, Girl","A family with two fathers, and two daughters.",fathers daughters family
391,👩‍👩‍👦,"👩‍👦 Family: Woman, Woman, Boy","A family with two mothers, and one son.",mothers son family
392,👩‍👩‍👧,"👩‍👧 Family: Woman, Woman, Girl","A family with two mothers, and one daughter.",mothers daughter family
393,👩‍👩‍👧‍👦,"👩‍👧‍👦 Family: Woman, Woman, Girl, Boy","A family with two mothers, one daughter, and one son.",mothers daughter son family
394,👩‍👩‍👦‍👦,"👩‍👦‍👦 Family: Woman, Woman, Boy, Boy","A family with two mothers, and two sons.",mothers sons family
395,👩‍👩‍👧‍👧,"👩‍👧‍👧 Family: Woman, Woman, Girl, Girl","A family with two mothers, and two daughters.",mothers daughters family
396,👨‍👦,"👦 Family: Man, Boy","The Family: Man, Boy emoji is a ZWJ sequence combining 👨 Man, Zero Width Joiner and 👦 Boy. These display as a single emoji on supported platforms.",ZWJ sequence combining Width Joiner Man Boy emoji
397,👨‍👦‍👦,"👦‍👦 Family: Man, Boy, Boy","The Family: Man, Boy, Boy emoji is a ZWJ sequence combining 👨 Man, Zero Width Joiner, 👦 Boy, Zero Width Joiner and 👦 Boy. These display as a single emoji on supported platforms.",ZWJ sequence combining Width Joiner Boy Man emoji
398,👨‍👧,"👧 Family: Man, Girl","The Family: Man, Girl emoji is a ZWJ sequence combining 👨 Man, Zero Width Joiner and 👧 Girl. These display as a single emoji on supported platforms.",ZWJ sequence combining Width Joiner Man Girl emoji
399,👨‍👧‍👦,"👧‍👦 Family: Man, Girl, Boy","The Family: Man, Girl, Boy emoji is a ZWJ sequence combining 👨 Man, Zero Width Joiner, 👧 Girl, Zero Width Joiner and 👦 Boy. These display as a single emoji on supported platforms.",Width Joiner ZWJ sequence combining Man Girl Boy
400,👨‍👧‍👧,"👧‍👧 Family: Man, Girl, Girl","The Family: Man, Girl, Girl emoji is a ZWJ sequence combining 👨 Man, Zero Width Joiner, 👧 Girl, Zero Width Joiner and 👧 Girl. These display as a single emoji on supported platforms.",ZWJ sequence combining Width Joiner Girl Man emoji
401,👩‍👦,"👦 Family: Woman, Boy","The Family: Woman, Boy emoji is a ZWJ sequence combining 👩 Woman, Zero Width Joiner and 👦 Boy. These display as a single emoji on supported platforms.",ZWJ sequence combining Width Joiner Woman Boy emoji
402,👩‍👦‍👦,"👦‍👦 Family: Woman, Boy, Boy","The Family: Woman, Boy, Boy emoji is a ZWJ sequence combining 👩 Woman, Zero Width Joiner, 👦 Boy, Zero Width Joiner and 👦 Boy. These display as a single emoji on supported platforms.",ZWJ sequence combining Width Joiner Boy Woman emoji
403,👩‍👧,"👧 Family: Woman, Girl","The Family: Woman, Girl emoji is a ZWJ sequence combining 👩 Woman, Zero Width Joiner and 👧 Girl. These display as a single emoji on supported platforms.",ZWJ sequence combining Width Joiner Woman Girl emoji
