id,emoji,name,description,keywords
0,😀,Grinning Face,"A yellow face with simple, open eyes and a broad, open smile, showing upper teeth and tongue on some platforms. Often conveys general pleasure and good cheer or humor.",showing upper teeth open smile eyes face with simple yellow
1,😃,Grinning Face with Big Eyes,"A yellow face with smiling eyes and a broad, open smile, showing upper teeth and tongue on some platforms. Often conveys general happiness and good-natured amusement.",showing upper teeth open smile yellow face with smiling eyes
2,😄,Grinning Face with Smiling Eyes,"A yellow face with smiling eyes and a broad, open smile, showing upper teeth and tongue on some platforms. Often conveys general happiness and good-natured amusement.",showing upper teeth open smile yellow face with smiling eyes
3,😁,Beaming Face with Smiling Eyes,"A yellow face with smiling eyes and full-toothed grin, as if saying Cheese! for the camera. Teeth may be smoothed-over or crosshatched. Often expresses a radiant, gratified happiness. Tone varies, including warm, silly, amused, or proud.",full-toothed grin yellow face with smiling eyes and Cheese
4,😆,Grinning Squinting Face,"A yellow face with a broad, open smile and scrunched, X-shaped eyes. Often conveys excitement or hearty laughter.",X-shaped eyes open smile and scrunched yellow face broad
5,😅,Grinning Face with Sweat,"Has the same grin and eyes as 😄 Grinning Face With Smiling Eyes but with a single, blue bead of sweat, usually over its left eye. Intended to depict nerves or discomfort but commonly used to express a close call, as if saying Whew! and wiping sweat from the forehead. ",Grinning Face With Smiling Eyes blue bead left eye
6,🤣,Rolling on the Floor Laughing,"A yellow face with a big grin and scrunched, X-shaped eyes, tilted on its side as if rolling on the floor laughing (the internet acronym ROFL). Sheds two tears and tilts right on most platforms. Often conveys hysterical laughter more intense than 😂 Face With Tears of Joy.",internet acronym ROFL X-shaped eyes grin and scrunched floor laughing big
7,😂,Face with Tears of Joy,"A yellow face with a big grin, uplifted eyebrows, and smiling eyes, each shedding a tear from laughing so hard. Widely used to show something is funny or pleasing. Named the Oxford Dictionaries 2015 Word of the Year, and the most used emoji on all platforms from 2011-2021.",uplifted eyebrows big grin smiling eyes laughing so hard yellow face shedding a tear from
8,🙂,Slightly Smiling Face,"A yellow face with simple, open eyes and a thin, closed smile. Conveys a wide range of positive, happy, and friendly sentiments. Its tone can also be patronizing, passive-aggressive, or ironic, as if saying This is fine when it’s really not.",closed smile face with simple open eyes yellow thin
9,🙃,Upside-Down Face,"A classic smiley, turned upside down. Implemented as a flipped version of 🙂 Slightly Smiling Face on most platforms.",Slightly Smiling Face classic smiley turned upside
10,😉,Winking Face,"A yellow face with a slight smile shown winking, usually its left eye. May signal a joke, flirtation, hidden meaning, or general positivity. Tone varies, including playful, affectionate, suggestive, or ironic.",smile shown winking slight left eye yellow face
11,😊,Smiling Face with Smiling Eyes,"A yellow face with smiling eyes and a broad, closed smile turning up to rosy cheeks. Often expresses genuine happiness and warm, positive feelings.",closed smile turning rosy cheeks yellow face with smiling eyes
12,😇,Smiling Face with Halo,"A yellow face with smiling eyes, closed smile, and halo, usually blue, overhead. Often represents angels, prayers, and blessings. May also convey angelic behavior, e.g., doing good deeds. See also 👼 Baby Angel.",closed smile smiling eyes yellow face with overhead Baby Angel
13,🥰,Smiling Face with Hearts,"A yellow face with smiling eyes, a closed smile, rosy cheeks, and several hearts floating around its head. Expresses a range of happy, affectionate feelings, especially being in love. The number of hearts (three or more) varies by platform.",rosy cheeks smiling eyes closed smile yellow face with hearts floating
14,😍,Smiling Face with Heart-Eyes,"A yellow face with an open smile, sometimes showing teeth, and red, cartoon-styled hearts for eyes. Often conveys enthusiastic feelings of love, infatuation, and adoration, e.g., I love/am in love with this person or thing.",open smile showing teeth cartoon-styled hearts for eyes yellow face
15,🤩,Star-Struck,"A yellow face with a broad, open smile, showing upper teeth on most platforms, with stars for eyes, as if seeing a beloved celebrity. Color of stars widely varies by platform, though commonly gold or red. May express that someone or something is amazing, fascinating, impressive, or exciting.",showing upper teeth open smile beloved celebrity yellow face stars for eyes
16,😘,Face Blowing a Kiss,"A yellow face winking with puckered lips blowing a kiss, depicted as a small, red heart. May represent a kiss goodbye or good night and convey feelings of love and affection more generally. ",yellow face winking puckered lips blowing red heart with
17,😗,Kissing Face,"A yellow face with simple, open eyes and puckered lips giving a kiss. Commonly conveys sentiments of love and affection.",puckered lips giving face with simple open eyes a kiss yellow and
18,☺️, Smiling Face,"A classic smiley. A yellow face with a modest smile, rosy cheeks, and soft, closed eyes. Many platforms, including Apple, feature relaxed eyebrows. Conveys a wide range of warm, positive feelings, including love, happiness, and gratitude.",classic smiley including Apple rosy cheeks closed eyes feature relaxed eyebrows modest smile
19,😚,Kissing Face with Closed Eyes,"A yellow face with smiling eyes, rosy cheeks, and puckered lips giving a kiss. Commonly conveys sentiments of romantic love and affection. Several platforms, including Apple, feature the same eyes and cheeks as their ☺️ Smiling Face.",puckered lips giving a kiss rosy cheeks yellow face Smiling Face
20,😙,Kissing Face with Smiling Eyes,A yellow face with smiling eyes and puckered lips giving a kiss. Commonly conveys sentiments of love and affection.,puckered lips giving a kiss yellow face with smiling eyes and
21,🥲,Smiling Face with Tear,"A yellow face with open eyes, a thin closed-mouth smile, and a single tear falling from one of its eyes. Can be used to express a wide range of emotions and expressions including gratitude, tender happiness, an attempt to look happy when actually sad, or smiling through pain. Can also be a response to something that is bittersweet.",thin closed-mouth smile single tear falling open eyes yellow face with
22,😋,Face Savoring Food,"A yellow face with smiling eyes and a broad, closed smile with its tongue sticking out of one corner, as if licking its lips in appetite or contentment. Widely used to convey that a food item is delicious. May also express that a person is attractive.",closed smile appetite or contentment yellow face with smiling eyes tongue sticking licking its lips
23,😛,Face with Tongue,"A yellow face with small, open eyes and a big grin, playfully sticking out its tongue. Can variously convey a sense of fun, excitement, silliness, cuteness, happiness, or jesting, as if saying Just kidding!",face with small open eyes big grin playfully sticking yellow
24,😜,Winking Face with Tongue,"A yellow face sticking out its tongue and making a zany wink, usually shown with its right eye closed and left wide open. Often conveys a sense of fun, excitement, wackiness, buffoonery, or joking.",left wide open yellow face sticking zany wink tongue and making
25,🤪,Zany Face,"A smiley making a silly face. A yellow face with a big grin and wide, white eyes, one larger than the other and in a wild, cockeyed expression. Many platforms, including Apple, depict its tongue stuck out and head tilted; others feature a full-toothed grin, giving it a more unhinged appearance.",smiley making a silly face yellow including Apple white eyes cockeyed expression
26,😝,Squinting Face with Tongue,"A yellow face with scrunched, X-shaped eyes and a big grin, sticking out its tongue. Often conveys a sense of fun, excitement, playfulness, hilarity, and happiness, as if saying Squee! or Awesome! ",X-shaped eyes face with scrunched big grin yellow
27,🤑,Money-Mouth Face,"A yellow face with raised eyebrows, dollar signs for eyes, and an open smile sticking out a tongue styled after a green, dollar banknote. Some platforms depict the dollar-sign eyes in green circles.",open smile sticking dollar banknote signs raised eyebrows yellow face with
28,🤗,Hugging Face,"A yellow face smiling with open hands, as if giving a hug. May be used to offer thanks and support, show love and care, or express warm, positive feelings more generally.",yellow face smiling open hands giving a hug with
29,🤭,Face with Hand Over Mouth,"A yellow face with a hand covering its mouth. Apple and Facebook feature simple, open eyes, suggesting someone gasping Oh my! in serious surprise, shock, concern, or apology. Other platforms depict a face with smiling eyes and/or blushing cheeks, suggesting coy laughter or embarrassment, as if cheekily saying Oops! ",covering its mouth hand Facebook feature simple Apple and yellow face
30,🤫,Shushing Face,"A yellow face placing an index finger over pursed lips, as if issuing Shh! or Shush! for silence. Some platforms feature raised eyebrows. Apple’s design suggests the face is tilting back slightly. ",issuing Shh pursed lips yellow face placing an index finger over
31,🤔,Thinking Face,"A yellow face with furrowed eyebrows looking upwards with thumb and index finger resting on its chin. Intended to show a person pondering or deep in thought. Often used to question or scorn something or someone, as if saying Hmm, I don't know about that. Tone varies, including earnest, playful, puzzled, skeptical, and mocking.",index finger resting yellow face with furrowed eyebrows looking upwards thumb and
32,🤐,Zipper-Mouth Face,"A yellow face with simple, open eyes and a closed zipper for a mouth. Meaning widely varies, but commonly conveys a secret or that someone will keep one (e.g., My lips are sealed). May also be used to tell someone to stop talking (e.g., Zip it! or I’ll shut up now).",face with simple open eyes yellow closed zipper Meaning widely varies
33,🤨,Face with Raised Eyebrow,"A yellow face with a flat, neutral mouth and furrowed eyebrows, its left raised higher than its right. Conveys a wide variety of sentiments, including suspicion, skepticism, concern, consideration, disbelief, and disapproval.",left raised higher neutral mouth furrowed eyebrows yellow face and
34,😐,Neutral Face,"A yellow face with simple, open eyes and a flat, closed mouth. Intended to depict a neutral sentiment but often used to convey mild irritation and concern or a deadpan sense of humor.",closed mouth face with simple open eyes yellow convey mild irritation
35,😑,Expressionless Face,"A yellow face with flat, closed eyes and mouth. May convey a sense of frustration or annoyance more intense than suggested by 😐 Neutral Face, as if taking a moment to collect itself.",closed eyes and mouth yellow face Neutral Face with flat
36,😶,Face Without Mouth,"A yellow face with simple, open eyes and no mouth, as if at a loss for words. Meaning widely varies, but commonly conveys speechlessness, humility, and silence. May also convey moderately negative emotions, such as disappointment, frustration, or sadness. ",face with simple open eyes loss for words yellow Meaning widely varies
37,😏,Smirking Face,"A yellow face with a sly, smug, mischievous, or suggestive facial expression. It features a half-smile, raised eyebrows, and eyes looking to the side. Often used to convey flirtation or sexual innuendo.",suggestive facial expression yellow face smug mischievous raised eyebrows
38,😒,Unamused Face,"A yellow face with slightly raised eyebrows, a frown, and eyes looking to the side. May convey a variety of negative emotions, including irritation, displeasure, grumpiness, and skepticism, as if giving the side-eye.",slightly raised eyebrows yellow face with including irritation
39,🙄,Face with Rolling Eyes,"A yellow face with a small, closed mouth, flat or frowning, rolling its large, white eyes upwards. As with the gesture of an eye-roll, commonly conveys moderate disdain, disapproval, frustration, or boredom. Tone varies, including playful, sassy, resentful, and sarcastic, as if saying Yeah, whatever.",white eyes upwards closed mouth flat or frowning rolling its large yellow face
40,😬,Grimacing Face,"A yellow face with simple open eyes showing clenched teeth. May represent a range of negative or tense emotions, especially nervousness, embarrassment, or awkwardness (e.g., Eek!).",showing clenched teeth simple open eyes yellow face with
41,🤥,Lying Face,"A yellow face with raised eyebrows, enlarged eyes, slight frown, and long nose, indicating it’s telling a lie in the manner of Pinocchio. Like that character, Facebook's design features a wooden nose. ",manner of Pinocchio enlarged eyes slight frown raised eyebrows yellow face with telling a lie
42,😌,Relieved Face,"A yellow face with soft, closed eyes, raised eyebrows, and a slight smile. Facebook’s design features a slightly open mouth, as if sighing.",closed eyes raised eyebrows face with soft slight smile yellow slightly open mouth
43,😔,Pensive Face,"A pensive, remorseful face. Saddened by life. Quietly considering where things all went wrong. Depicted as a yellow face with sad, closed eyes, furrowed eyebrows, and a slight, flat mouth.",remorseful face pensive Saddened by life closed eyes furrowed eyebrows
44,😪,Sleepy Face,"A yellow face with closed eyes, mouth slightly open, and a blue snot bubble coming from its nose. Snot bubbles indicate a character is tired or sleeping in anime or manga. Not to be confused with 😴 Sleeping Face ",mouth slightly open blue snot bubble coming closed eyes
45,🤤,Drooling Face,"A yellow face, usually shown with closed eyes and raised eyebrows, with saliva drooling from one corner of its mouth. Often used to show desire for a person (sexy, attractive) or object (e.g., delicious food). May also represent someone is tired or sleeping.",yellow face raised eyebrows shown with closed eyes and saliva drooling
46,😴,Sleeping Face,"A yellow face with eyes closed and mouth letting out three, cartoon-styled Zzz’s overhead to indicate it's sound asleep. The Zzz’s appear blue or purple across most platforms. May also represent boredom (slang, snooze).",cartoon-styled Zzz sound asleep ’s overhead yellow face with eyes closed and mouth
47,😷,Face with Medical Mask,"A yellow face wearing a white surgical mask, as used by health workers in hospitals as well as the general public during a pandemic. May be worn to avoid sickness or spreading airborne diseases.",white surgical mask yellow face wearing a
48,🤒,Face with Thermometer,"A yellow face with raised or furrowed eyebrows and a thermometer in its mouth. Often depicted with red cheeks, as if feverish. May be used to represent a hospital patient or person with a cold or flu.",yellow face with raised or furrowed eyebrows mouth red cheeks
49,🤕,Face with Head-Bandage,"A yellow face with a half-frown and white bandage wrapped around its head, often depicted partially over one eye. May represent physical injury or pain but also emotional hurting, sometimes for ironic effect.",white bandage wrapped yellow face half-frown and depicted partially head
50,🤢,Nauseated Face,"A sickly-green face with concerned eyes and puffed, often red cheeks, as if holding back vomit. May represent physical illness or general disgust. Not to be confused with 🤮 Face Vomiting.",holding back vomit eyes and puffed red cheeks concerned sickly-green face
51,🤮,Face Vomiting,"A yellow face with scrunched, X-shaped eyes spewing bright-green vomit. May represent physical illness or disgust, more intensely so than 🤢 Nauseated Face.",X-shaped eyes spewing bright-green vomit
52,🤧,Sneezing Face,"A yellow face with scrunched, X-shaped eyes sneezing or blowing its nose into a white tissue, as if from a cold or allergies. Often depicted with a crumpled-looking mouth.",X-shaped eyes sneezing face with scrunched white tissue cold or allergies yellow
53,🥵,Hot Face,"A reddish-orange face with furrowed eyebrows, tongue stuck out, and beads of sweat, as if overheated from high temperatures. Number and position of sweat droplets vary by platforms. May also represent physical attractiveness (slang, hot).",furrowed eyebrows tongue stuck high temperatures reddish-orange face with overheated from beads of sweat
54,🥶,Cold Face,"An icy-blue face with gritted teeth usually depicted with icicles clinging to its cheeks or jaw, as if frozen from extreme cold. May also represent unfriendliness (slang, cold) or excellence (slang, cool or chill).",cheeks or jaw icy-blue face with gritted teeth usually depicted icicles clinging
55,🥴,Woozy Face,"A yellow face with a crumpled mouth and a cockeyed expression, as if tired and emotional from inebriation or smitten with love. Depicted with raised or furrowed eyebrows and at least one eye half-open. WhatsApp's design features a tongue hanging out. ",cockeyed expression smitten with love yellow face crumpled mouth tired and emotional from inebriation or
56,😵,Dizzy Face,"A yellow face with X’s for eyes and a round, open mouth. Often depicted with raised or furrowed eyebrows. Facebook’s design features a purple forehead. Previously displayed with spiral eyes on some platforms.",open mouth yellow face round
57,🤯,Exploding Head,"A yellow face with an open mouth, the top of its head exploding in the shape of a brain-like mushroom cloud. A visual form of the expression mind blown, it may represent such emotions as shock, awe, amazement, and disbelief.",brain-like mushroom cloud open mouth yellow face head exploding expression mind blown
58,🤠,Cowboy Hat Face,"Yee-haw! A yellow smiley wearing a wide-brimmed, brown-leather cowboy hat. Its smile varies across platforms. May convey a sense of exuberance, whimsy, confidence, adventure, or other sentiments.",brown-leather cowboy hat Yee-haw yellow smiley wearing a wide-brimmed
59,🥳,Partying Face,A yellow face with a party hat blowing a party horn as confetti floats around its head. Used for celebrating joyous occasions (such as New Year's Eve or World Emoji Day) and enjoying good times more generally.,party hat blowing World Emoji Day a horn yellow face
60,🥸,Disguised Face,"A yellow face with big glasses, a large nose, thick eyebrows, and a mustache. Used to represent someone in disguise.",thick eyebrows big glasses large nose yellow face with
61,😎,Smiling Face with Sunglasses,"A yellow face with a broad, closed smile wearing black sunglasses, as if a pair of classic Wayfarers. Often used to convey the slang sense of cool. May also express a confident, carefree attitude or that something is excellent.",wearing black sunglasses closed smile classic Wayfarers yellow face
62,🤓,Nerd Face,"A smiling yellow face with glasses, often with teeth showing, originally buck teeth on most platforms.",originally buck teeth smiling yellow face with glasses showing
63,🧐,Face with Monocle,"A yellow face with furrowed eyebrows wearing a monocle. Usually depicted with a small, intent frown and head slightly upturned, as if in careful inspection.",furrowed eyebrows wearing a monocle yellow face with head slightly upturned
64,😕,Confused Face,"A yellow face with open eyes and a skewed frown, as if scrunching its cheeks or chewing its lips. A look of feeling unsure. An Google’s design heightens its intended puzzlement by including contorted eyebrows.",skewed frown chewing its lips yellow face with open eyes scrunching cheeks or
65,😟,Worried Face,"A yellow face with open eyes, raised or furrowed eyebrows, and a broad frown. May convey a variety of moderately sad or tense emotions, including concern, anxiety, alarm, disappointment, and unhappiness. ",open eyes raised or furrowed eyebrows broad frown yellow face with including concern
66,🙁,Slightly Frowning Face,"A yellow face with simple, open eyes and a slight frown. Often conveys a mild degree of concern, disappointment, or sadness, but usually less intensely than ☹️ Frowning Face.",open eyes slight frown yellow face Frowning Face with simple
67,☹️, Frowning Face,"A classic sad face. A yellow face with simple, open eyes and wide, steep frown. May convey such feelings as moderate concern or disappointment and affectionate sadness, as when missing a loved one. Its sentiment is usually more intense than 🙁 Slightly Frowning Face, which has a smaller frown.",classic sad face Slightly Frowning Face
68,😮,Face with Open Mouth,"A yellow face with small, open eyes and a large, round mouth, slack with surprise or shock, as if saying Wow! or Oh my! May convey such feelings as awe or disbelief, often milder or more ironic in tone than 😱 Face Screaming in Fear.",round mouth open eyes slack with surprise or shock yellow face Screaming in Fear Face
69,😯,Hushed Face,"A yellow face with small, open eyes, raised eyebrows, and a small, open mouth, as if it has been hushed by concern or correction. Meaning widely varies, but its expression is commonly taken as surprise, embarrassment, or mild excitement.",raised eyebrows open eyes mouth concern or correction yellow face hushed by small
70,😲,Astonished Face,"A yellow face with open eyes, raised eyebrows, and an open mouth, as if gasping in shock or surprise. Often depicted showing its upper teeth. May convey a wide range of emotions, including awe, amazement, admiration, disbelief, excitement, or concern.",raised eyebrows shock or surprise open eyes mouth yellow face gasping in
71,😳,Flushed Face,"A yellow face with raised eyebrows, a small, closed mouth, wide, white eyes staring straight ahead, and blushing cheeks. Intended to depict such feelings as embarrassment, but meaning very widely varies. Other senses include flattery, surprise, disbelief, admiration, affection, and excitement.",white eyes staring straight ahead closed mouth raised eyebrows
72,🥺,Pleading Face,"A yellow face with furrowed eyebrows, a small frown, and large, “puppy dog” eyes, as if begging or pleading. May also represent adoration or feeling touched by a loving gesture.",puppy dog furrowed eyebrows small frown begging or pleading yellow face with eyes
73,😦,Frowning Face with Open Mouth,"A yellow face with small, open eyes and an open frown. Samsung’s design shows upper teeth and tongue. Meaning widely varies, but may convey mild sadness, disappointment, concern, and amazement.",face with small open frown yellow eyes
74,😧,Anguished Face,"A yellow face with small, open eyes, open frown, and raised eyebrows. Samsung’s design shows upper teeth and tongue. Meaning widely varies, but may convey alarm, confusion, or sadness, as if gasping in shock or concern.",open eyes frown face with small raised eyebrows yellow
75,😨,Fearful Face,"A face with small, open eyes, open frown, raised eyebrows, and a pale blue forehead, as if experiencing a cold flash. Samsung’s design shows upper teeth and tongue.",pale blue forehead open eyes frown raised eyebrows face with small cold flash
76,😰,Anxious Face with Sweat,"A face with open eyes and a small, open frown. Its eyebrows are furrowed, with a single bead of cold sweat dripping down, and its forehead is pale blue, as if experiencing a cold flash. Samsung's design shows upper teeth and tongue.",open frown eyes face with cold sweat dripping small
77,😥,Sad but Relieved Face,"A yellow face with small, open eyes, a slight frown, and furrowed eyebrows, from which a single bead of sweat drips, as if from concern or anxiety. Also known as Disappointed but Relieved Face, suggesting the smiley is upset but is grateful things didn’t turn out worse.",open eyes slight frown furrowed eyebrows sweat drips concern or anxiety single bead of
78,😢,Crying Face,"A yellow face with raised eyebrows and a slight frown, shedding a single, blue tear from one eye down its cheek. May convey a moderate degree of sadness or pain, usually less intensely than 😭 Loudly Crying Face.",Loudly Crying Face shedding a single slight frown blue tear raised eyebrows yellow face
79,😭,Loudly Crying Face,"A yellow face with an open mouth wailing and streams of heavy tears flowing from closed eyes. May convey inconsolable grief but also other intense feelings, such as uncontrollable laughter, pride or overwhelming joy.",open mouth wailing heavy tears flowing closed eyes yellow face and streams
80,😱,Face Screaming in Fear,"A yellow face screaming in fear, depicted by wide, white eyes, a long, open mouth, hands pressed on cheeks, and a pale blue forehead, as if it has lost its color. Its expression evokes Edvard Munch’s iconic painting The Scream.",pale blue forehead yellow face screaming depicted by wide white eyes open mouth in fear hands pressed
81,😖,Confounded Face,"A yellow face with scrunched, X-shaped eyes and a crumpled mouth, as if quivering in frustration or holding back tears. May be used to represent being overcome with various emotions, including irritation, frustration, disgust, and sadness, as if to the point of defeat.  ",holding back tears X-shaped eyes face with scrunched crumpled mouth yellow
82,😣,Persevering Face,"A yellow face with a slight frown, furrowed eyebrows, and scrunched, X-shaped eyes, as if holding back tears or exerting great effort. May convey various degrees and tones of frustration, sadness, helplessness, and struggle. Facebook’s design features a light-purple forehead.",exerting great effort holding back tears X-shaped eyes furrowed eyebrows slight frown yellow face
83,😞,Disappointed Face,"A yellow face with a frown and closed, downcast eyes, as if aching with sorrow or pain. May convey a variety of unhappy emotions, including disappointment, grief, stress, regret, and remorse.",downcast eyes frown and closed sorrow or pain yellow face aching with including disappointment
84,😓,Downcast Face with Sweat,"A yellow face with closed eyes, frown, and a bead of sweat dripping from its forehead. Usually depicted with a single sweat bead on its right side, though Microsoft includes two.",closed eyes yellow face with sweat dripping frown single bead Microsoft includes
85,😩,Weary Face,"A yellow face with closed eyes, furrowed brows, and a broad, open frown, as if distraught to the point of giving up. Usually shown with upper teeth and sometimes tongue.",furrowed brows open frown closed eyes yellow face with point of giving
86,😫,Tired Face,"A yellow face with scrunched, X-shaped eyes, furrowed eyebrows, and a broad, open frown, as if yawning in exhaustion or groaning in exasperation. Usually shown with upper teeth and sometimes tongue.",X-shaped eyes furrowed eyebrows open frown face with scrunched groaning in exasperation yellow yawning exhaustion
87,🥱,Yawning Face,"A yellow face with eyes closed and mouth wide open covered by a hand. Captured mid-yawn, this may represent having insufficient sleep, or to imply boredom with a person or topic.",mouth wide open covered yellow face with eyes closed and
88,😤,Face with Steam From Nose,"A yellow face with closed eyes, furrowed eyebrows, broad frown, and two puffs of steam blowing out of its nose, as if in a huff or fuming. ",furrowed eyebrows broad frown closed eyes huff or fuming yellow face with puffs of steam
89,😡,Pouting Face,"A red face with an angry expression: frowning mouth with eyes and eyebrows scrunched downward. Bears the same expression as 😠 Angry Face on most platforms and may convey more intense degrees of anger, e.g., hate or rage.",eyebrows scrunched downward frowning mouth with eyes and red face
90,😠,Angry Face,"A yellow face with a frowning mouth and eyes and eyebrows scrunched downward in anger. Google’s design features a reddish face and Facebook’s, clenched teeth.",eyebrows scrunched downward in anger frowning mouth and eyes
91,🤬,Face with Symbols on Mouth,"An angry-red face with a black bar and white grawlixes covering its mouth, indicating it's swearing or being vulgar. Grawlixes are typographical symbols (e.g., @#$%&!) representing swear words or obscenities. Often used to convey an outburst of anger, frustration, or rage.",white grawlixes covering its mouth indicating it swearing angry-red face black bar and
92,😈,Smiling Face with Horns,"A face, usually purple, with devil horns, a wide grin, and eyes and eyebrows scrunched downward in the same manner as 😠 Angry Face on most platforms. Google’s design is red and Facebook’s has black horns and green eyes.",eyebrows scrunched downward Angry Face wide grin devil horns face
93,👿,Angry Face with Horns,"A face, usually purple, with two devil horns, frowning mouth and eyes, and eyebrows scrunched downwards in anger. Bears the same expression as 😠 Angry Face and 😡 Pouting Face on most platforms. Google’s design is red and Facebook’s has black horns, green eyes, and clenched teeth.",frowning mouth eyebrows scrunched Angry Face Pouting devil horns face and eyes
94,💀,Skull,"A whitish-gray, cartoon-styled human skull with large, black eye sockets. Commonly expresses figurative death, e.g., dying from extreme laughter, frustration, or affection.",black eye sockets cartoon-styled human skull with large
95,☠️, Skull and Crossbones,"A cartoon human skull atop an X-shaped pair of bones, as on a pirate flag or poison symbol. Samsung’s design previously displayed a skull and crossbones on a yellow triangle, indicating a hazardous material.",human skull atop cartoon an X-shaped pair of bones poison symbol
96,💩,Pile of Poo,"A swirl of brown poop, shaped like soft-serve ice cream with large, excited eyes and a big, friendly smile.",soft-serve ice cream friendly smile brown poop shaped like with large excited eyes swirl of
97,🤡,Clown Face,"A circus or birthday clown displayed with white face makeup, a red nose, exaggerated eyes and smile, and two tufts of hair (red or blue). Commonly used as comment on TikTok or other social media platforms to indicate that a person is foolish, idiotic and/or selfish.",white face makeup birthday clown displayed exaggerated eyes and smile tufts of hair red nose
98,👹,Ogre,"A grotesque, red face with horns, wide eyes, a large nose, crooked fangs, and a fringe of shaggy hair. Depicts an oni, a kind of hideous ogre in Japanese folklore.",wide eyes crooked fangs red face with horns large nose shaggy hair fringe of
99,👺,Goblin,"A menacing, red mask featuring a grotesquely long nose, angry eyes, and bushy eyebrows and mustache. Depicts a tengu, a proud trickster figure in Japanese folklore.",red mask featuring grotesquely long nose angry eyes eyebrows and mustache
100,👻,Ghost,"Boo! A white, cartoon ghost making a silly face. Its tongue is stuck out and arms are outstretched, as if trying to scare someone in a friendly way. Several platforms feature one larger, bulging eye. ",Boo cartoon ghost making silly face a bulging eye
101,👽,Alien,"A classic alien face. The oval, bare head of a gray or green alien with large black eyes and a slight, friendly smile. Samsung depicts nostrils, Facebook a nose.",classic alien face large black eyes Facebook a nose friendly smile
102,👾,Alien Monster,"A friendly-looking, tentacled space creature with two eyes. Most major platforms style their design after aliens in classic arcade games like Space Invaders, rendering it purple and pixellated, as if in 8-bit graphics.",tentacled space creature Space Invaders friendly-looking eyes
103,🤖,Robot,"The head of a classic robot. Commonly depicted as a vintage, tin toy robot with circular eyes, a triangular nose, knobs for ears, a light and/or antennae atop its head, and a grill-like mouth similar to a grimace. Colors vary across platform, but its head is metallic on most platforms. ",classic robot tin toy grill-like mouth similar head knobs for ears
104,😺,Grinning Cat,A cartoon cat variant of 😀 Grinning Face. Depicted as yellow on major platforms.,Grinning Face cartoon cat variant
105,😸,Grinning Cat with Smiling Eyes,A cartoon cat variant of 😄 Grinning Face With Smiling Eyes. Depicted as yellow on major platforms.,Grinning Face Smiling Eyes With cartoon cat variant
106,😹,Cat with Tears of Joy,A cartoon cat variant of 😂 Face With Tears of Joy. Depicted as yellow on major platforms.,Face With Tears of Joy cartoon cat variant
107,😻,Smiling Cat with Heart-Eyes,A cartoon cat variant of 😍 Smiling Face With Heart-Eyes. Depicted as yellow on major platforms.,Smiling Face With Heart-Eyes cartoon cat variant
108,😼,Cat with Wry Smile,A cartoon cat variant of 😏 Smirking Face. Depicted as yellow on major platforms.,Smirking Face cartoon cat variant
109,😽,Kissing Cat,A cartoon cat variant of 😚 Kissing Face With Closed Eyes. Depicted as yellow on major platforms.,Kissing Face Closed Eyes With cartoon cat variant
110,🙀,Weary Cat,A cartoon cat variant of 😩 Weary Face. Its expression more closely resembles 😱 Face Screaming in Fear. Depicted as yellow on major platforms.,Weary Face cartoon cat variant Screaming in Fear
111,😿,Crying Cat,A cartoon cat variant of 😢 Crying Face. Depicted as yellow on major platforms.,Crying Face cartoon cat variant
112,😾,Pouting Cat,A cartoon cat variant of 😡 Pouting Face. Also resembles 😠 Angry Face. Depicted as yellow on major platforms. Sometimes used to represent the internet meme and celebrity Grumpy Cat.,Pouting Face Angry cartoon cat variant
113,💋,Kiss Mark,"The mark left after a firm kiss is placed with bright lipstick. Used in place of ‘xxx’ (kisses), or to send a kiss to someone. More seductive than the kiss emoji.",bright lipstick mark left firm kiss
114,👋,Waving Hand,A hand waving most commonly used to say “hello” or “goodbye”.,hand waving most commonly goodbye
115,🤚,Raised Back of Hand,"A raised hand, showing the reverse side of the palm. May be paired with the forward-facing raised hand emoji.",showing the reverse raised hand emoji side forward-facing
116,🖐️, Hand with Fingers Splayed,"A raised hand with a part between each finger and the thumb. Held up in a manner that may indicate the number five. Similar to a waving hand, without any motion.",raised hand thumb part finger waving
117,✋,Raised Hand,"A hand held up showing its palm. May be used to mean stop, or as a high-five.",showing its palm hand held up
118,🖖,Vulcan Salute,"A raised hand, with the fingers separated between the ring finger and the middle finger.",raised hand fingers separated ring finger middle
119,👌,OK Hand,"A gesture showing the index finger and thumb touching to make an open circle. Represents “I’m okay” or “yes, that’s correct / good”.",open circle gesture showing the index finger and thumb touching to make
120,🤌,Pinched Fingers,"An emoji showing the fingers held together in a vertical orientation, often referred to as the Italian hand gesture ma che vuoi, sometimes called the ""finger purse."" In Italy this gesture tends to be used in disagreement, frustration, or disbelief and can mean “What do you want?” or “What are you saying?” Outside Italy anyone performing a caricature of an Italian person, regardless of context or tone, might use this gesture.",vertical orientation che vuoi Italian hand gesture finger purse emoji showing fingers held
121,🤏,Pinching Hand,"A hand with thumb and index finger in close proximity. Used to suggest that something is small, or to gesture a small amount. Has",close proximity hand with thumb and index finger in
122,✌️, Victory Hand,"Most commonly known as a ✌️ Peace Sign, but traditionally called as a Victory Hand. Two fingers held up on one hand making a V sign.",Peace Sign Victory Hand traditionally called
